name,class,mass,fall,year,lat,long,GeoLocation
Acfer 245,H5,75,Found,1991,27.56389,3.92639,"(27.563890, 3.926390)"
Acfer 246,L6,923,Found,1991,27.69222,3.32167,"(27.692220, 3.321670)"
Acfer 247,L4,60,Found,1991,27.63611,4.03139,"(27.636110, 4.031390)"
Acfer 248,L3.9/4,402,Found,1991,27.63556,4.02528,"(27.635560, 4.025280)"
Acfer 249,H5/6,99,Found,1991,27.62167,3.95361,"(27.621670, 3.953610)"
Acfer 250,H6,382,Found,1991,27.55139,3.74194,"(27.551390, 3.741940)"
Acfer 251,LL5-6,202,Found,1991,27.50972,3.88056,"(27.509720, 3.880560)"
Acfer 252,L6,146,Found,1991,27.51111,3.88444,"(27.511110, 3.884440)"
Acfer 253,LL5-6,47,Found,1991,27.51361,3.89694,"(27.513610, 3.896940)"
Acfer 254,L6,99,Found,1991,27.52222,3.94694,"(27.522220, 3.946940)"
Acfer 255,L6,124,Found,1991,27.64611,4.39722,"(27.646110, 4.397220)"
Acfer 256,H5/6,235,Found,1991,27.64611,4.39722,"(27.646110, 4.397220)"
Acfer 257,H6,75,Found,1991,27.68528,4.50333,"(27.685280, 4.503330)"
Acfer 258,H6,212,Found,1991,27.67056,4.34611,"(27.670560, 4.346110)"
Acfer 259,H3-6,114,Found,1991,27.52444,3.87361,"(27.524440, 3.873610)"
Acfer 260,H5,177,Found,1991,27.47556,3.71028,"(27.475560, 3.710280)"
Acfer 261,L6,73,Found,1991,27.70917,4.42083,"(27.709170, 4.420830)"
Acfer 262,H4,92,Found,1991,27.67,4.49722,"(27.670000, 4.497220)"
Acfer 263,L6,438,Found,1991,27.69111,4.3375,"(27.691110, 4.337500)"
Acfer 264,LL6,243,Found,1991,27.69472,4.30639,"(27.694720, 4.306390)"
Acfer 265,Mesosiderite,83,Found,1991,27.715,4.19278,"(27.715000, 4.192780)"
Acfer 266,L6,518,Found,1991,27.72722,4.17056,"(27.727220, 4.170560)"
Acfer 267,LL5-6,229,Found,1991,27.51056,3.71306,"(27.510560, 3.713060)"
Acfer 268,LL4-6,764,Found,1991,27.51389,3.87528,"(27.513890, 3.875280)"
Acfer 269,LL6,276,Found,1991,27.51472,3.86556,"(27.514720, 3.865560)"
Acfer 270,CR2,298,Found,1991,27.51861,3.85722,"(27.518610, 3.857220)"
Acfer 271,H6,237,Found,1991,27.56111,4.05556,"(27.561110, 4.055560)"
Acfer 272,CV3,63,Found,1991,27.57028,4.075,"(27.570280, 4.075000)"
Acfer 273,H5/6,2110,Found,1991,27.62194,4.45556,"(27.621940, 4.455560)"
Acfer 274,H6,203,Found,1991,27.63389,4.18722,"(27.633890, 4.187220)"
Acfer 275,H5-6,429,Found,1991,27.63361,4.17306,"(27.633610, 4.173060)"
Acfer 276,H5,99,Found,1991,27.63972,4.14528,"(27.639720, 4.145280)"
Acfer 277,Ureilite,41,Found,1991,27.63917,4.14278,"(27.639170, 4.142780)"
Acfer 278,H5,72,Found,1991,27.63861,4.12722,"(27.638610, 4.127220)"
Acfer 279,H5,96,Found,1991,27.64278,4.06889,"(27.642780, 4.068890)"
Acfer 280,L6,177,Found,1991,27.53528,3.91278,"(27.535280, 3.912780)"
Acfer 281,L5,165,Found,1991,27.54222,3.88444,"(27.542220, 3.884440)"
Acfer 282,H6,67,Found,1991,27.65444,4.27528,"(27.654440, 4.275280)"
Acfer 283,H5,187,Found,1991,27.70056,4.22944,"(27.700560, 4.229440)"
Acfer 284,H5,120,Found,1991,27.70611,4.20583,"(27.706110, 4.205830)"
Acfer 285,H4/5,69,Found,1991,27.63139,4.10722,"(27.631390, 4.107220)"
Acfer 286,H6,407,Found,1991,27.79472,4.16722,"(27.794720, 4.167220)"
Acfer 287,E4,59,Found,1992,27.61667,4.19056,"(27.616670, 4.190560)"
Acfer 288,L5,55,Found,1992,27.59139,3.98806,"(27.591390, 3.988060)"
Acfer 289,CR2,76,Found,1992,27.47417,3.86417,"(27.474170, 3.864170)"
Acfer 290,L6,213,Found,1992,27.54528,4.04861,"(27.545280, 4.048610)"
Acfer 291,H6,261,Found,1992,27.70806,4.24806,"(27.708060, 4.248060)"
Acfer 292,H5,432,Found,1992,27.71861,4.48611,"(27.718610, 4.486110)"
Acfer 293,LL6,198,Found,1992,27.66583,4.19056,"(27.665830, 4.190560)"
Acfer 294,H4,457,Found,1992,27.64972,4.01194,"(27.649720, 4.011940)"
Acfer 295,LL6,217,Found,1992,27.48333,3.91556,"(27.483330, 3.915560)"
Acfer 296,LL5-6,121,Found,1992,27.58278,4,"(27.582780, 4.000000)"
Acfer 297,L6,43,Found,1992,27.63361,4.04139,"(27.633610, 4.041390)"
Acfer 298,L6,2000,Found,1992,27.70917,4.17444,"(27.709170, 4.174440)"
